@RELATION WhereIsSmartphone
@ATTRIBUTE X_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE X_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE X_NO_G_STD NUMERIC 
@ATTRIBUTE X_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE X_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Y_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Y_NO_G_STD NUMERIC 
@ATTRIBUTE Y_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Y_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE Z_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE Z_NO_G_STD NUMERIC 
@ATTRIBUTE Z_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE Z_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_AVERAGE NUMERIC 
@ATTRIBUTE V_NO_G_VARIANCE NUMERIC 
@ATTRIBUTE V_NO_G_STD NUMERIC 
@ATTRIBUTE V_NO_G_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE V_NO_G_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_AVERAGE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_STD_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_VARIANCE_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MIN_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE RATIO_DIFF_MIN_MAX_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE X_NO_G_Y_NO_G_Z_NO_G_SIGNAL_MAGNITUDE_AREA NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Y_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_X_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_Z_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Y_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE CORRELATION_Z_NO_G_V_NO_G NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_AVERAGE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_VARIANCE NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_STD NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_DIFFERENCE_MIN_MAX NUMERIC 
@ATTRIBUTE AMBIENT_TEMPERATURE_RATIO_MIN_MAX NUMERIC 
@ATTRIBUTE class {TASCA_DESTRA_DAVANTI_PANTALONI,TASCA_DESTRA_DIETRO_PANTALONI,TASCA_SINISTRA_DAVANTI_PANTALONI,TASCA_SINISTRA_DIETRO_PANTALONI,TASCA_GIACCA_ALTA,TASCA_GIACCA_BASSA}
@DATA
1.199,7.4242,2.7247,20.0146,-0.3852,-0.5968,6.0506,2.4598,11.0691,-1.0015,-0.0982,4.9248,2.2192,11.0661,-0.714,3.901,4.985,2.2327,13.5839,0.0612,-2.0091,-12.2037,0.3074,6.0742,-0.153,-0.0252,1.1077,1.2278,1.2204,1.1084,1.1017,0.9939,1.227,1.5075,1.4893,1.2286,1.2138,0.9879,1.0049,1.2074,-6.2847,1.2015,-6.2542,-5.2053,2.6126,2.238,0.9986,0.8566,0.3822,0.4462,1.8082,1.8087,1.4734,1.0003,0.8149,0.8146,0.0096,5.8339,0.1378,-0.0001,0.5342,-0.023,-0.2581,0.1368,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
1.2389,12.4569,3.5294,18.016,-0.3908,0.914,11.9942,3.4633,15.7466,-0.3271,-1.0026,17.3246,4.1623,20.577,-1.2722,5.9963,9.1956,3.0324,14.2561,0.0616,1.3554,-1.2357,0.2066,-0.9116,0.1524,-0.1672,1.0191,0.848,1.1639,0.8321,1.1421,1.3726,1.0386,0.719,1.3547,0.6923,1.3043,1.884,1.3042,0.4394,-5.4077,0.3369,-4.1463,-12.308,1.0918,1.4304,0.8527,1.3102,0.781,0.5961,1.1441,0.8755,1.2637,0.7653,1.1046,1.4434,0.0133,9.11,-0.0117,0.6141,0.5416,0.0389,0.5278,0.1913,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.1778,3.9004,1.9749,8.5626,-0.5584,-0.2042,2.4407,1.5623,5.6812,-0.7923,-0.1525,1.3986,1.1826,4.7852,-1.5712,2.6488,0.8203,0.9057,4.7078,0.2195,-0.8705,-1.1661,0.0671,1.3396,-0.0771,-0.0576,1.2641,1.67,2.1806,1.321,1.7249,1.3057,1.598,2.7888,4.7548,1.7451,2.9754,1.705,1.2217,1.0492,-2.3175,0.8588,-1.897,-2.2087,1.7334,2.9523,0.9109,1.7032,0.5255,0.3086,1.5072,1.7894,1.8188,1.1872,1.2068,1.0165,0.0022,4.0356,0.5188,-0.129,0.3501,-0.4374,0.5111,-0.3634,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
-0.181,4.2669,2.0656,7.8562,-0.6647,0.1287,2.0854,1.4441,4.9024,-0.7668,-0.0025,0.8039,0.8966,4.2889,-1.2555,2.5348,0.7804,0.8834,4.442,0.2041,-1.4067,73.2477,-0.0714,-52.0697,0.0508,-0.001,1.4304,2.3038,2.3383,1.6106,1.6347,1.015,2.0461,5.3076,5.4677,2.594,2.6722,1.0302,1.4743,1.3139,-2.7539,0.8912,-1.8679,-2.096,1.7008,2.4819,0.8456,1.4593,0.4972,0.3407,1.6025,1.8318,1.7686,1.1431,1.1037,0.9655,0.0016,3.7262,0.5456,-0.1807,0.0867,-0.2362,0.4353,-0.1585,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
0.2119,2.9232,1.7097,7.6675,-0.6389,0.2483,2.815,1.6778,6.447,-0.5233,-0.1723,0.947,0.9731,4.9597,-1.6035,2.3885,1.1167,1.0567,4.5668,0.1767,0.8533,-1.2296,0.0887,-1.441,0.104,-0.0721,1.019,1.757,1.6179,1.7241,1.5877,0.9209,1.0385,3.0869,2.6177,2.9726,2.5208,0.848,1.3496,0.9785,-3.0494,0.725,-2.2594,-3.1163,1.1054,2.4559,0.8434,2.2217,0.763,0.3434,1.1893,1.546,1.679,1.2999,1.4117,1.086,0.0025,3.5324,0.4212,-0.178,0.0839,-0.3103,0.6194,-0.4399,?,?,?,?,?,TASCA_SINISTRA_DIETRO_PANTALONI
-0.5895,2.3675,1.5387,8.9506,-1.6319,0.7724,4.4235,2.1032,11.6163,-0.5039,-1.1517,9.005,3.0008,22.9333,-1.5149,3.4602,6.0933,2.4685,13.4853,0.0503,-0.7633,0.5118,-0.1704,-0.6706,0.2232,-0.3329,0.7316,0.5127,0.6233,0.7009,0.852,1.2157,0.5352,0.2629,0.3885,0.4912,0.726,1.4778,1.4259,0.4017,-7.7648,0.2817,-5.4453,-19.3279,0.4403,0.3729,0.2395,0.8471,0.544,0.6422,0.7705,0.3903,0.6637,0.5065,0.8614,1.7006,0.0108,5.0909,0.246,-0.003,-0.2055,-0.2422,0.3053,-0.3649,?,?,?,?,?,TASCA_GIACCA_ALTA
-0.5106,3.4076,1.846,10.7648,-3.99,0.5,4.4139,2.1009,10.8178,-0.8177,-1.4972,9.0499,3.0083,16.5342,-1.5195,3.8014,5.1734,2.2745,10.407,0.0957,-1.0213,0.341,-0.1343,-0.3339,0.1315,-0.3939,0.8786,0.6136,0.8116,0.6984,0.9237,1.3226,0.772,0.3765,0.6587,0.4877,0.8532,1.7493,1.7687,0.8632,-7.8152,0.488,-4.4185,-9.0539,0.3625,0.3287,0.1875,0.9069,0.5171,0.5702,0.9951,0.6511,1.0344,0.6543,1.0395,1.5888,0.0119,5.763,0.1821,0.2915,-0.6525,-0.3691,0.1934,-0.5599,?,?,?,?,?,TASCA_GIACCA_ALTA
-0.2778,1.88,1.3711,6.3942,-1.3778,-0.33,1.3405,1.1578,5.0933,-0.8103,0.1289,0.4134,0.643,3.7135,-0.7602,1.8187,0.5289,0.7272,3.7229,0.0929,0.842,-2.1548,-0.1528,-2.5591,-0.1814,0.0709,1.1843,2.1324,1.8854,1.8006,1.5921,0.8842,1.4025,4.5472,3.5549,3.2423,2.5347,0.7818,1.6252,2.3101,-9.7181,1.4214,-5.9796,-4.2068,0.9558,1.2747,0.6552,1.3337,0.6855,0.514,1.2554,1.7219,1.7175,1.3716,1.3681,0.9975,0.0032,2.7267,0.3447,-0.1338,-0.4671,-0.3801,0.172,0.2165,?,?,?,?,?,TASCA_GIACCA_ALTA
0.2455,1.5841,1.2586,5.1678,-1.4147,0.0089,1.5748,1.2549,5.7417,-0.722,0.2451,0.1067,0.3266,1.4006,-0.4768,1.6599,0.6306,0.7941,3.3456,0.1612,27.4653,1.0015,0.1479,0.0365,0.0054,0.1477,1.003,3.8537,1.5849,3.8422,1.5803,0.4113,1.006,14.8507,2.5121,14.7628,2.4972,0.1692,1.2577,6.6949,-4.7093,5.3232,-3.7444,-0.7034,0.6419,2.2567,0.5366,3.5158,0.836,0.2378,0.9001,3.6897,1.5447,4.0994,1.7162,0.4187,0.0025,2.4096,0.3266,-0.1565,-0.3618,-0.1997,0.1819,0.1981,?,?,?,?,?,TASCA_GIACCA_ALTA
-0.3711,3.1031,1.7616,7.7339,-1.3938,-0.554,4.908,2.2154,9.6545,-1.3235,-0.0832,9.1827,3.0303,11.9803,-1.0191,3.9118,2.3428,1.5306,7.0778,0.1152,0.6699,4.4614,-0.0949,6.6595,-0.1416,-0.0213,0.7951,0.5813,1.1509,0.7311,1.4474,1.9798,0.6322,0.3379,1.3245,0.5345,2.095,3.9196,0.8189,0.7447,-4.8886,0.9094,-5.97,-6.5645,0.7775,0.5445,0.4039,0.7003,0.5195,0.7418,0.8011,0.6456,1.0927,0.8059,1.364,1.6926,0.0047,5.974,0.546,0.0701,-0.3079,0.0093,-0.5252,-0.0673,?,?,?,?,?,TASCA_GIACCA_BASSA
0.3747,2.6455,1.6265,6.6957,-0.594,-0.2547,2.9126,1.7066,6.0965,-0.8774,0.1002,0.4574,0.6763,3.3079,-1.7038,2.3665,0.6306,0.7941,4.0035,0.1745,-1.4709,3.7411,0.1583,-2.5433,-0.1076,0.0423,0.9531,2.4048,2.0482,2.5233,2.1491,0.8517,0.9083,5.7833,4.1952,6.367,4.6187,0.7254,0.8757,1.197,-2.948,1.3668,-3.3664,-2.4629,1.2936,3.4335,0.8661,2.6543,0.6696,0.2523,1.0983,2.0241,1.6724,1.843,1.5228,0.8262,0.0033,3.4261,0.4113,-0.8472,-0.0815,-0.4135,-0.0189,-0.1627,?,?,?,?,?,TASCA_GIACCA_BASSA
-0.0698,3.7606,1.9392,8.5426,-0.5533,-0.1957,2.6228,1.6195,5.6919,-0.6951,-0.0754,0.6783,0.8236,4.1961,-1.6064,2.4691,1.0141,1.007,5.1969,0.1507,0.3565,0.9248,-0.0282,2.5941,-0.0792,-0.0305,1.1974,2.3546,1.9257,1.9664,1.6082,0.8178,1.4338,5.5442,3.7083,3.8668,2.5864,0.6689,1.3036,1.1766,-3.2994,0.9025,-2.5309,-2.8043,1.6379,3.4162,0.8988,2.0857,0.5487,0.2631,1.5008,2.0358,1.6438,1.3565,1.0953,0.8074,0.0015,3.6894,0.572,-0.43,0.266,-0.3518,0.4395,-0.2605,?,?,?,?,?,TASCA_GIACCA_BASSA
-1.6227,7.1807,2.6797,13.059,-2.8336,-0.4394,4.7195,2.1724,9.6487,-0.9858,-0.476,5.8765,2.4242,12.4277,-0.9589,4.0948,4.0621,2.0155,9.8196,0.1241,3.6934,3.4089,-0.3963,0.923,-0.1073,-0.1163,1.2335,1.1054,1.3295,0.8962,1.0779,1.2028,1.5215,1.2219,1.7677,0.8031,1.1618,1.4467,2.0152,1.5867,-6.9377,0.7873,-3.4426,-4.3725,0.7011,0.537,0.3039,0.7659,0.4334,0.5659,1.3534,1.0508,1.3299,0.7764,0.9826,1.2656,0.0124,6.107,0.291,0.0871,-0.6794,0.2327,-0.0601,-0.2783,?,?,?,?,?,TASCA_GIACCA_BASSA
-0.0714,4.6887,2.1653,8.8763,-0.5419,0.0341,1.7925,1.3389,4.7776,-0.6463,0.0301,0.7704,0.8777,4.0213,-1.9248,2.5091,0.9634,0.9815,4.9232,0.1828,-2.0945,-2.3722,-0.0285,1.1326,0.0136,0.012,1.6173,2.467,2.2061,1.5254,1.3641,0.8942,2.6157,6.0863,4.8669,2.3269,1.8607,0.7996,1.6633,1.1789,-2.8332,0.7087,-1.7033,-2.4034,1.9837,4.1869,0.9556,2.1107,0.4817,0.2282,1.8579,2.2073,1.803,1.1881,0.9704,0.8168,0.0006,3.7861,0.6073,-0.4492,0.2551,-0.2717,0.346,-0.3104,?,?,?,?,?,TASCA_GIACCA_BASSA
